,Bacteria,Chemicals,Importance_random_forest,CV_random_forest,R_squared_random_forest
231,180,Sb,0.41079851240439735,-0.22932736675535725,0.46310877637559167
232,180,Naftalen,0.24889286784206432,-0.22932736675535725,0.46310877637559167
233,182,B,0.21556888987946032,-0.1807031837728026,0.28164763942616866
234,182,Ni,0.19501239158039385,-0.1807031837728026,0.28164763942616866
235,182,Sr,0.2072848594681359,-0.1807031837728026,0.28164763942616866
236,182,Sb,0.29220289612303707,-0.1807031837728026,0.28164763942616866
237,184,Sr,0.22896573478902138,0.03647245792460829,0.6636274273611329
238,189,Sb,0.23384870265703572,-0.21839416563142589,0.35797866164474457
239,192,Sb,0.27291538013513683,-0.2608212986760705,0.257003580131124
240,199,Sb,0.21032512815914928,-0.27798436711618546,0.34574706880560835
241,201,"['Se', 'Mo']",0.20112558289655835,-0.1309288587562556,0.4659835508263289
242,201,Ga,0.20507826424305098,-0.1309288587562556,0.4659835508263289
243,201,Sb,0.3563224007917297,-0.1309288587562556,0.4659835508263289
244,201,Naftalen,0.1980114718449768,-0.1309288587562556,0.4659835508263289
245,204,"['Fe', 'Al', 'Cr', 'Mn']",0.20635892524324984,-0.18068039015147241,0.31658596590613
246,204,"['Se', 'Mo']",0.20806773016458757,-0.18068039015147241,0.31658596590613
247,204,"['Fluoren', 'Fluoranten']",0.20168773191575118,-0.18068039015147241,0.31658596590613
248,204,pH,0.20475524121696742,-0.18068039015147241,0.31658596590613
249,204,EC,0.20640407726453425,-0.18068039015147241,0.31658596590613
250,204,TOC,0.20140536183555224,-0.18068039015147241,0.31658596590613
251,204,B,0.20276216231020627,-0.18068039015147241,0.31658596590613
252,204,Ni,0.2074506892052561,-0.18068039015147241,0.31658596590613
253,204,Ga,0.236770034867532,-0.18068039015147241,0.31658596590613
254,204,Sr,0.22205873510123542,-0.18068039015147241,0.31658596590613
255,204,Sb,0.210358697348487,-0.18068039015147241,0.31658596590613
256,204,Ba,0.22544101091762148,-0.18068039015147241,0.31658596590613
