,Bacteria,Chemicals,Importance_xgboost,CV_xgboost,R_squared_xgboost
117,58,"['Fluoren', 'Fluoranten']",1.7666999495498286,-5.0279379589834985,-0.7666999496722593
118,58,pH,1.7677718180583484,-5.0279379589834985,-0.7666999496722593
119,58,EC,1.7664145811647725,-5.0279379589834985,-0.7666999496722593
120,58,TOC,1.759741690734978,-5.0279379589834985,-0.7666999496722593
121,58,HCHO,1.7486373737886223,-5.0279379589834985,-0.7666999496722593
122,58,B,2.0240246168805047,-5.0279379589834985,-0.7666999496722593
123,58,Ni,1.8472997530852657,-5.0279379589834985,-0.7666999496722593
124,58,Ga,1.7683311974884122,-5.0279379589834985,-0.7666999496722593
125,58,Rb,1.7696234315128705,-5.0279379589834985,-0.7666999496722593
126,58,Sr,1.7732717722124711,-5.0279379589834985,-0.7666999496722593
127,58,Sb,1.7570289113025424,-5.0279379589834985,-0.7666999496722593
128,58,Ba,1.764046465506441,-5.0279379589834985,-0.7666999496722593
129,58,Naftalen,1.7667149600952414,-5.0279379589834985,-0.7666999496722593
130,58,Acenaften,1.7788538557335336,-5.0279379589834985,-0.7666999496722593
131,66,"['Se', 'Mo']",1.004298485248473,-703.8061466165324,0.09826053002253643
132,66,TOC,1.1927803482397112,-703.8061466165324,0.09826053002253643
133,66,Sb,1.0317738755710228,-703.8061466165324,0.09826053002253643
134,69,"['Li', 'Antracen']",2.0646615741713865,-297115.8643228877,-1.0647127308881403
135,69,"['Al', 'Fe']",2.064575656949632,-297115.8643228877,-1.0647127308881403
136,69,"['V', 'As']",2.0614418940360997,-297115.8643228877,-1.0647127308881403
137,69,"['Cr', 'Fe']",2.0629581772152306,-297115.8643228877,-1.0647127308881403
138,69,"['Mn', 'Fe']",2.0646764692777664,-297115.8643228877,-1.0647127308881403
139,69,"['Fe', 'Al', 'Cr', 'Mn']",2.064723754997144,-297115.8643228877,-1.0647127308881403
140,69,"['Se', 'Mo']",2.0647288766753022,-297115.8643228877,-1.0647127308881403
141,69,"['Fluoren', 'Fluoranten']",2.0647127308818196,-297115.8643228877,-1.0647127308881403
142,69,pH,2.064580664150328,-297115.8643228877,-1.0647127308881403
143,69,EC,2.0646895038273905,-297115.8643228877,-1.0647127308881403
144,69,TOC,2.0647142514651025,-297115.8643228877,-1.0647127308881403
145,69,HCHO,2.0647134599231953,-297115.8643228877,-1.0647127308881403
146,69,B,2.0647158350868655,-297115.8643228877,-1.0647127308881403
147,69,Ni,2.0647143141875763,-297115.8643228877,-1.0647127308881403
148,69,Ga,2.0647179812494505,-297115.8643228877,-1.0647127308881403
149,69,Rb,2.064712271388267,-297115.8643228877,-1.0647127308881403
150,69,Sr,2.0647546162689645,-297115.8643228877,-1.0647127308881403
151,69,Sb,2.0647131814143367,-297115.8643228877,-1.0647127308881403
152,69,Ba,2.064713834687304,-297115.8643228877,-1.0647127308881403
153,69,Naftalen,2.0647174994661577,-297115.8643228877,-1.0647127308881403
154,69,Acenaften,2.064712730916653,-297115.8643228877,-1.0647127308881403
155,83,"['Se', 'Mo']",1.0339891697310846,-8.494820229965283,0.5451223996827244
156,84,Sb,1.1033639085800013,-15.788973125624683,0.6900490448197834
157,85,B,1.1985183219447486,-1.1640733916265462,0.9997793623671266
158,91,Ga,1.6947950118525417,-4.918095309803897,0.9986085655489669
159,96,"['Li', 'Antracen']",1.4136606618791792,-145.93477385524102,-0.24887462806688299
160,96,"['Al', 'Fe']",1.1315754334310997,-145.93477385524102,-0.24887462806688299
161,96,"['V', 'As']",1.183355931865015,-145.93477385524102,-0.24887462806688299
162,96,"['Cr', 'Fe']",1.1576145747498061,-145.93477385524102,-0.24887462806688299
163,96,"['Mn', 'Fe']",1.446560634513594,-145.93477385524102,-0.24887462806688299
164,96,"['Fe', 'Al', 'Cr', 'Mn']",1.223009291185837,-145.93477385524102,-0.24887462806688299
165,96,"['Fluoren', 'Fluoranten']",1.2488746264001231,-145.93477385524102,-0.24887462806688299
166,96,pH,1.1845495222417486,-145.93477385524102,-0.24887462806688299
167,96,EC,1.2484324486664193,-145.93477385524102,-0.24887462806688299
168,96,TOC,1.1503415587477428,-145.93477385524102,-0.24887462806688299
169,96,HCHO,1.2319980296382878,-145.93477385524102,-0.24887462806688299
170,96,B,1.2449296965463668,-145.93477385524102,-0.24887462806688299
171,96,Ni,1.2536643095446203,-145.93477385524102,-0.24887462806688299
172,96,Ga,1.2643520458337596,-145.93477385524102,-0.24887462806688299
173,96,Rb,1.2691151925546067,-145.93477385524102,-0.24887462806688299
174,96,Sr,1.246675681410152,-145.93477385524102,-0.24887462806688299
175,96,Sb,1.2816383533256568,-145.93477385524102,-0.24887462806688299
176,96,Ba,1.2486426879856176,-145.93477385524102,-0.24887462806688299
177,96,Naftalen,1.2486265565553194,-145.93477385524102,-0.24887462806688299
178,96,Acenaften,1.246899282620364,-145.93477385524102,-0.24887462806688299
179,97,Ba,1.9171112812683955,-0.10458423893182085,0.9994497571063076
180,99,Ga,1.33562572495729,-71.61734901779182,0.9854176939123854
181,102,pH,1.0352226096216324,-1058.684454091656,0.3664247816418833
182,106,"['Li', 'Antracen']",1.0237805008138863,-192.31261683850397,0.006329153967620571
183,106,HCHO,1.0155357775437004,-192.31261683850397,0.006329153967620571
184,106,Ni,1.1389535497990106,-192.31261683850397,0.006329153967620571
185,106,Ga,1.004383013922352,-192.31261683850397,0.006329153967620571
186,106,Rb,1.0158387242788174,-192.31261683850397,0.006329153967620571
187,106,Sr,1.029505949687422,-192.31261683850397,0.006329153967620571
188,108,"['Fe', 'Al', 'Cr', 'Mn']",1.0436193405214755,-1712.884936444537,-0.34937312016985667
189,108,"['Se', 'Mo']",1.3184004783935632,-1712.884936444537,-0.34937312016985667
190,108,"['Fluoren', 'Fluoranten']",1.349373119964593,-1712.884936444537,-0.34937312016985667
191,108,pH,1.3468127800417249,-1712.884936444537,-0.34937312016985667
192,108,EC,1.349948737936477,-1712.884936444537,-0.34937312016985667
193,108,TOC,1.0434080030621724,-1712.884936444537,-0.34937312016985667
194,108,HCHO,1.3490513375196462,-1712.884936444537,-0.34937312016985667
195,108,B,1.351340357203131,-1712.884936444537,-0.34937312016985667
196,108,Ni,1.3534384802132424,-1712.884936444537,-0.34937312016985667
197,108,Ga,1.3493422124125265,-1712.884936444537,-0.34937312016985667
198,108,Rb,1.3583415091756899,-1712.884936444537,-0.34937312016985667
199,108,Sr,1.3504343488624777,-1712.884936444537,-0.34937312016985667
200,108,Sb,1.3562508810661789,-1712.884936444537,-0.34937312016985667
201,108,Ba,1.3499943688978586,-1712.884936444537,-0.34937312016985667
202,108,Naftalen,1.3494615892754052,-1712.884936444537,-0.34937312016985667
203,108,Acenaften,1.3493771740064622,-1712.884936444537,-0.34937312016985667
204,113,Rb,1.3266921618712764,-2.6666494144880017,0.7669715673522428
205,119,TOC,1.2784531624614122,-14.067109008619529,0.2502236360838366
206,124,Rb,1.2318431455853147,-27.062466163806892,0.7739642156381301
207,131,"['Li', 'Antracen']",1.0271931341373346,-8.26256428519037,0.10966951303906958
208,131,"['Cr', 'Fe']",1.124804833717357,-8.26256428519037,0.10966951303906958
209,131,"['Se', 'Mo']",1.0446906889917376,-8.26256428519037,0.10966951303906958
210,131,Acenaften,1.0091069648366864,-8.26256428519037,0.10966951303906958
211,133,Rb,1.4297925506737872,-1.207555285922353,0.9082332081026685
212,135,"['Fluoren', 'Fluoranten']",1.8941190971356434,-1099.2537462533232,-0.8941191015599712
213,135,EC,1.893841364427998,-1099.2537462533232,-0.8941191015599712
214,135,TOC,1.8943233915679967,-1099.2537462533232,-0.8941191015599712
215,135,HCHO,1.8834566756568094,-1099.2537462533232,-0.8941191015599712
216,135,B,1.894682868587668,-1099.2537462533232,-0.8941191015599712
217,135,Ni,1.893649912696255,-1099.2537462533232,-0.8941191015599712
218,135,Ga,1.8946045065723651,-1099.2537462533232,-0.8941191015599712
219,135,Rb,1.902043198558415,-1099.2537462533232,-0.8941191015599712
220,135,Sr,1.8941257198604955,-1099.2537462533232,-0.8941191015599712
221,135,Sb,1.8945541681525344,-1099.2537462533232,-0.8941191015599712
222,135,Ba,1.8966415701397699,-1099.2537462533232,-0.8941191015599712
223,135,Naftalen,1.8941969233094222,-1099.2537462533232,-0.8941191015599712
224,135,Acenaften,2.0440723678214296,-1099.2537462533232,-0.8941191015599712
225,136,"['Cr', 'Fe']",1.7775730301671397,-106.63089849555249,-0.9135551471226182
226,136,"['Fe', 'Al', 'Cr', 'Mn']",2.7663054606260036,-106.63089849555249,-0.9135551471226182
227,136,"['Fluoren', 'Fluoranten']",1.9135551401735178,-106.63089849555249,-0.9135551471226182
228,136,EC,1.9129179967037673,-106.63089849555249,-0.9135551471226182
229,136,TOC,1.8649037623750755,-106.63089849555249,-0.9135551471226182
230,136,HCHO,1.9036852937846613,-106.63089849555249,-0.9135551471226182
231,136,B,1.910862270813567,-106.63089849555249,-0.9135551471226182
232,136,Ni,1.9030135591809114,-106.63089849555249,-0.9135551471226182
233,136,Ga,1.9175090076696426,-106.63089849555249,-0.9135551471226182
234,136,Rb,1.9145100860891286,-106.63089849555249,-0.9135551471226182
235,136,Sr,1.9165089487882585,-106.63089849555249,-0.9135551471226182
236,136,Sb,1.8842444007986843,-106.63089849555249,-0.9135551471226182
237,136,Ba,1.913591172798668,-106.63089849555249,-0.9135551471226182
238,136,Naftalen,1.9683098909534045,-106.63089849555249,-0.9135551471226182
239,136,Acenaften,1.9135417898794889,-106.63089849555249,-0.9135551471226182
240,138,"['Al', 'Fe']",1.0052191319301915,-289.06524460868263,0.2540124157254168
241,138,"['Fe', 'Al', 'Cr', 'Mn']",1.1508111113391055,-289.06524460868263,0.2540124157254168
242,139,Sr,1.1084095116051065,-5.06438234834787,0.9617762210895153
243,140,Sb,1.2989265742816896,-1.0986262566013163,0.8854726309058838
244,144,"['Li', 'Antracen']",1.2347748850951374,-58.48303621261037,-0.24462220595212836
245,144,"['V', 'As']",1.248050422381222,-58.48303621261037,-0.24462220595212836
246,144,"['Cr', 'Fe']",1.2127011132343375,-58.48303621261037,-0.24462220595212836
247,144,"['Mn', 'Fe']",1.2344511423684175,-58.48303621261037,-0.24462220595212836
248,144,"['Fe', 'Al', 'Cr', 'Mn']",1.4053107304945485,-58.48303621261037,-0.24462220595212836
249,144,"['Fluoren', 'Fluoranten']",1.244622197241691,-58.48303621261037,-0.24462220595212836
250,144,pH,1.2446867259525658,-58.48303621261037,-0.24462220595212836
251,144,EC,1.2448153600830056,-58.48303621261037,-0.24462220595212836
252,144,TOC,1.2747414200547929,-58.48303621261037,-0.24462220595212836
253,144,HCHO,1.2308232857953527,-58.48303621261037,-0.24462220595212836
254,144,B,1.245595405558508,-58.48303621261037,-0.24462220595212836
255,144,Ni,1.2814784098005072,-58.48303621261037,-0.24462220595212836
256,144,Ga,1.2471858397994402,-58.48303621261037,-0.24462220595212836
257,144,Rb,1.2410760220946337,-58.48303621261037,-0.24462220595212836
258,144,Sr,1.3304426259712812,-58.48303621261037,-0.24462220595212836
259,144,Sb,1.244602538180076,-58.48303621261037,-0.24462220595212836
260,144,Ba,1.2446212682261084,-58.48303621261037,-0.24462220595212836
261,144,Naftalen,1.2438859961348734,-58.48303621261037,-0.24462220595212836
262,144,Acenaften,1.263435419535857,-58.48303621261037,-0.24462220595212836
263,148,Ni,1.10585138882979,-1.007342862851807,0.9846804929578298
264,148,Acenaften,1.1611536878996205,-1.007342862851807,0.9846804929578298
265,156,Rb,2.0383596057455247,-0.5903582390999123,0.9999530831882181
266,158,Rb,1.4429690517851372,-2.0137410737317656,0.7093389777145308
267,162,Ga,1.6114454556156594,-35.89482610926119,0.9465713752410202
268,163,Rb,1.3317402310174777,-1.317495863241853,0.8176608566149143
269,165,Rb,1.7374223214852338,-16.214266581110422,0.9521331406644844
270,167,"['Li', 'Antracen']",1.5347979540762433,-468.5809341774128,0.1377944684166934
271,167,"['Al', 'Fe']",1.5389571729774276,-468.5809341774128,0.1377944684166934
272,167,"['V', 'As']",1.5390389390155712,-468.5809341774128,0.1377944684166934
273,167,"['Mn', 'Fe']",1.5433452866223816,-468.5809341774128,0.1377944684166934
274,167,"['Fe', 'Al', 'Cr', 'Mn']",2.3380788488640447,-468.5809341774128,0.1377944684166934
275,167,"['Se', 'Mo']",1.6042871073613625,-468.5809341774128,0.1377944684166934
276,167,pH,1.6256991068954298,-468.5809341774128,0.1377944684166934
277,169,"['Li', 'Antracen']",1.0272032008118523,-532.4802157504139,-0.026134253935358842
278,169,"['V', 'As']",2.0495309677757767,-532.4802157504139,-0.026134253935358842
279,169,"['Cr', 'Fe']",2.0507922242454297,-532.4802157504139,-0.026134253935358842
280,169,"['Fe', 'Al', 'Cr', 'Mn']",2.057586186862448,-532.4802157504139,-0.026134253935358842
281,169,"['Se', 'Mo']",1.0215430858613204,-532.4802157504139,-0.026134253935358842
282,169,"['Fluoren', 'Fluoranten']",1.026134253122857,-532.4802157504139,-0.026134253935358842
