,Bacteria,Chemicals,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
67,20,"['V', 'As']",1.032258064516129,0.16,-0.5483870967741935
68,20,"['Cr', 'Fe']",1.032258064516129,0.16,-0.5483870967741935
69,20,"['Mn', 'Fe']",1.032258064516129,0.16,-0.5483870967741935
70,20,"['Fe', 'Al', 'Cr', 'Mn']",1.032258064516129,0.16,-0.5483870967741935
71,20,"['Se', 'Mo']",1.032258064516129,0.16,-0.5483870967741935
72,20,"['Sr', 'EC']",1.032258064516129,0.16,-0.5483870967741935
73,20,"['Fluoren', 'Fluoranten']",1.032258064516129,0.16,-0.5483870967741935
74,20,"['Antracen', 'EC', 'Li']",1.032258064516129,0.16,-0.5483870967741935
75,20,pH,1.032258064516129,0.16,-0.5483870967741935
76,20,TOC,1.032258064516129,0.16,-0.5483870967741935
77,20,HCHO,1.032258064516129,0.16,-0.5483870967741935
78,20,B,1.032258064516129,0.16,-0.5483870967741935
79,20,Ni,1.032258064516129,0.16,-0.5483870967741935
80,20,Ga,1.032258064516129,0.16,-0.5483870967741935
81,20,Rb,1.032258064516129,0.16,-0.5483870967741935
82,20,Sb,1.032258064516129,0.16,-0.5483870967741935
83,20,Ba,1.032258064516129,0.16,-0.5483870967741935
84,20,Naftalen,1.032258064516129,0.16,-0.5483870967741935
85,20,Acenaften,1.032258064516129,0.16,-0.5483870967741935
86,21,TOC,1.12622464056008,-5.559883713365776,-0.13605063572970422
87,27,Ba,0.9648241206030148,-0.1492307692307692,0.812395309882747
88,32,Rb,1.518942144759138,-0.5417001160200314,0.7448257080610021
89,34,Naftalen,1.0714285714285714,-0.4699999999999999,-0.3571428571428572
90,35,HCHO,1.032258064516129,0.7666666666666667,0.4838709677419355
91,40,HCHO,0.9196222325982697,-3525.3587592622803,-0.07371798992563061
92,42,Acenaften,1.2927229861772978,-977.7057480802614,0.6391436446716638
93,50,Sb,1.533306441584782,-1.5992176359012003,0.0924610659199544
94,59,"['Al', 'Fe']",1.1151810009579992,-6.466926130066321,-0.24974813927918982
95,59,"['Cr', 'Fe']",1.2793723897556166,-6.466926130066321,-0.24974813927918982
96,59,"['Mn', 'Fe']",1.1973859482117115,-6.466926130066321,-0.24974813927918982
97,59,"['Sr', 'EC']",0.9971118584002919,-6.466926130066321,-0.24974813927918982
98,61,Ba,1.0634781866824083,-8.244758438801664,0.7698745232449633
99,66,B,1.5881574956015287,0.08173700129626975,0.6213310683734756
100,67,HCHO,1.0144078885539338,-0.992957572929025,0.4517596387947078
101,73,Sb,1.3269444985044507,-2.5092297732282165,0.7866544241544766
102,76,Ba,1.0802259887005652,-13.694880076628351,0.7231638418079096
103,78,"['Antracen', 'EC', 'Li']",0.9212115784738658,-52.232633783039,-0.4278042581798436
104,78,pH,0.9212115784738658,-52.232633783039,-0.4278042581798436
105,78,TOC,0.9215058341821724,-52.232633783039,-0.4278042581798436
106,78,HCHO,0.9212115784738658,-52.232633783039,-0.4278042581798436
107,78,B,0.9212115784738658,-52.232633783039,-0.4278042581798436
108,78,Ni,0.9212115784738658,-52.232633783039,-0.4278042581798436
109,78,Ga,0.9212115784738658,-52.232633783039,-0.4278042581798436
110,78,Rb,0.9212115784738658,-52.232633783039,-0.4278042581798436
111,78,Sb,0.9212115784738658,-52.232633783039,-0.4278042581798436
112,78,Ba,0.9212115784738658,-52.232633783039,-0.4278042581798436
113,78,Naftalen,0.9212115784738658,-52.232633783039,-0.4278042581798436
114,78,Acenaften,0.9212115784738658,-52.232633783039,-0.4278042581798436
115,79,Sb,1.0658834893084048,-61.58710865913874,0.4771492316042435
116,80,Ni,1.032258064516129,0.56,0.4838709677419355
117,82,B,1.1333333333333333,-0.08923076923076916,0.13333333333333341
118,84,"['EC', 'Sr', 'Antracen']",1.0666666666666669,0.32,-0.6000000000000001
119,84,"['Li', 'Antracen']",1.0666666666666669,0.32,-0.6000000000000001
120,84,"['Al', 'Fe']",1.0666666666666669,0.32,-0.6000000000000001
121,84,"['V', 'As']",1.0666666666666669,0.32,-0.6000000000000001
122,84,"['Cr', 'Fe']",1.0666666666666669,0.32,-0.6000000000000001
123,84,"['Mn', 'Fe']",1.0666666666666669,0.32,-0.6000000000000001
124,84,"['Fe', 'Al', 'Cr', 'Mn']",1.0666666666666669,0.32,-0.6000000000000001
125,84,"['Se', 'Mo']",1.0666666666666669,0.32,-0.6000000000000001
126,84,"['Fluoren', 'Fluoranten']",1.0666666666666669,0.32,-0.6000000000000001
127,84,"['Antracen', 'EC', 'Li']",1.0666666666666669,0.32,-0.6000000000000001
128,84,TOC,1.0666666666666669,0.32,-0.6000000000000001
129,84,HCHO,1.0666666666666669,0.32,-0.6000000000000001
130,84,B,1.0666666666666669,0.32,-0.6000000000000001
131,84,Ni,1.0666666666666669,0.32,-0.6000000000000001
132,84,Ga,1.0666666666666669,0.32,-0.6000000000000001
133,84,Rb,1.0666666666666669,0.32,-0.6000000000000001
134,84,Sb,1.0666666666666669,0.32,-0.6000000000000001
135,84,Ba,1.0666666666666669,0.32,-0.6000000000000001
136,84,Naftalen,1.0666666666666669,0.32,-0.6000000000000001
137,84,Acenaften,1.0666666666666669,0.32,-0.6000000000000001
138,90,Ba,1.2921793629305043,-1.2894388843340976,0.35636544885429833
139,94,Rb,1.0211026819104603,-1.0294290608742913,0.5600598354525055
140,96,Rb,1.4409005628517821,-0.6257773715144885,0.6054677030286786
141,97,Rb,1.3099417643238223,-3.9589415925641935,0.9314021096173847
142,101,Rb,1.2023809523809523,0.2896551724137931,0.5297619047619047
143,102,Rb,1.2318903871092861,-1.4106938947501695,0.5722814145264352
144,103,Naftalen,1.032258064516129,0.3666666666666667,0.4838709677419355
145,107,Ni,1.032258064516129,0.56,0.4838709677419355
146,115,"['EC', 'Sr', 'Antracen']",1.8256230376766092,-2.794336652693624,-0.711642937089366
147,115,"['Li', 'Antracen']",1.8108633677830106,-2.794336652693624,-0.711642937089366
148,115,"['Al', 'Fe']",1.016248673614745,-2.794336652693624,-0.711642937089366
149,115,"['V', 'As']",1.3422814371475087,-2.794336652693624,-0.711642937089366
150,115,"['Cr', 'Fe']",1.0173679247339962,-2.794336652693624,-0.711642937089366
151,115,"['Mn', 'Fe']",1.3778717149252864,-2.794336652693624,-0.711642937089366
152,115,"['Se', 'Mo']",1.4941352876620735,-2.794336652693624,-0.711642937089366
153,115,"['Sr', 'EC']",1.7594618509797082,-2.794336652693624,-0.711642937089366
154,115,"['Fluoren', 'Fluoranten']",1.3689903846153846,-2.794336652693624,-0.711642937089366
155,115,"['Antracen', 'EC', 'Li']",1.1676487368451656,-2.794336652693624,-0.711642937089366
156,115,pH,1.425461691086691,-2.794336652693624,-0.711642937089366
157,115,TOC,1.5002189444153733,-2.794336652693624,-0.711642937089366
158,115,HCHO,1.5091220783185069,-2.794336652693624,-0.711642937089366
159,115,B,1.5002189444153733,-2.794336652693624,-0.711642937089366
160,115,Ni,1.5002189444153733,-2.794336652693624,-0.711642937089366
161,115,Ga,1.5002189444153733,-2.794336652693624,-0.711642937089366
162,115,Rb,1.5002189444153733,-2.794336652693624,-0.711642937089366
