,Family (Aggregated)
363,Rhodocyclaceae
364,{Unknown Family} SBla14
365,{Unknown Family} SC-I-84
366,{Unknown Family} Thiobacterales
367,{Unknown Order} Deltaproteobacteria
368,{Unknown Family} [Entotheonellales]
369,{Unknown Family} AF420338
370,Bacteriovoracaceae
371,Bdellovibrionaceae
372,{Unknown Family} BPC076
373,Desulfobacteraceae
374,Desulfobulbaceae
375,Desulfovibrionaceae
376,Geobacteraceae
377,{Unknown Family} FAC87
378,{Unknown Family} MBNT15
379,{Unknown Family} MIZ46
380,{Unknown Family} Myxococcales
381,0319-6G20
382,Cystobacterineae
383,Haliangiaceae
384,Myxococcaceae
385,Nannocystaceae
386,OM27
387,{Unknown Family} NB1-j
388,{Unknown Family} NKB15
389,{Unknown Family} PB19
390,{Unknown Family} Spirobacillales
391,Syntrophaceae
392,Syntrophobacteraceae
393,Campylobacteraceae
394,Helicobacteraceae
395,{Unknown Order} Gammaproteobacteria
396,{Unknown Family} 34P16
397,{Unknown Family} Acidithiobacillales
398,Succinivibrionaceae
399,125ds10
400,211ds20
401,Alteromonadaceae
402,HTCC2188
403,Psychromonadaceae
404,{Unknown Family} Chromatiales
405,Ectothiorhodospiraceae
406,Enterobacteriaceae
407,{Unknown Family} Legionellales
408,Coxiellaceae
409,Endoecteinascidiaceae
410,Legionellaceae
411,{Unknown Family} Methylococcales
412,Crenotrichaceae
413,Methylococcaceae
414,{Unknown Family} Oceanospirillales
415,Saccharospirillaceae
416,Pasteurellaceae
417,Moraxellaceae
418,Pseudomonadaceae
419,{Unknown Family} Thiohalorhabdales
420,Piscirickettsiaceae
421,Thiotrichaceae
422,Sinobacteraceae
423,Xanthomonadaceae
424,{Unknown Family} CV90
425,{Unknown Family} PHOS-HD29
426,Brachyspiraceae
427,Leptospiraceae
428,{Unknown Class} SR1
429,{Unknown Order} Mollicutes
430,Mycoplasmataceae
431,{Unknown Family} RF39
432,{Unknown Order} F38
433,{Unknown Order} SBRH58
434,{Unknown Order} SJA-4
435,{Unknown Family} S1198
436,{Unknown Family} YJF2-48
437,{Unknown Class} TM7
438,{Unknown Order} MJK10
439,{Unknown Order} SC3
440,{Unknown Order} TM7-1
441,{Unknown Order} TM7-3
442,{Unknown Family} Blgi18
443,{Unknown Family} CW040
444,{Unknown Family} EW055
445,{Unknown Family} I025
446,Rs-045
447,{Unknown Class} Verrucomicrobia
448,{Unknown Family} Methylacidiphilales
449,LD19
450,{Unknown Family} S-BQ2-57
451,{Unknown Order} [Pedosphaerae]
452,{Unknown Family} [Pedosphaerales]
453,auto67_4W
454,Ellin517
455,OPB35
456,R4-41B
457,[Chthoniobacteraceae]
458,{Unknown Order} Opitutae
459,[Cerasicoccaceae]
460,Opitutaceae
461,Puniceicoccaceae
462,{Unknown Family} LD1-PB3
463,{Unknown Family} WCHB1-41
464,Verrucomicrobiaceae
465,{Unknown Class} WPS-2
466,{Unknown Order} SHA-109
467,{Unknown Family} Sediment-1
468,PRR-10
469,{Unknown Class} WS4
470,{Unknown Class} WS5
471,{Unknown Class} WS6
472,{Unknown Order} B142
473,{Unknown Order} SC72
474,{Unknown Family} WCHB1-15
475,{Unknown Class} ZB3
476,{Unknown Order} BS119
477,
